Date;Time;Comment;PackIndex;OrderSymbol;OrderOpenPrice;OrderComment;OrderMagicNumber;OrderTicketNumber;OrderProfitPips;OrderTargetProfitPips;PackID;PackProfitPips;PackTargetProfitPips
2015/11/26;0:51:2;AfterPackClose;0;AUDCHF;0.74072000;2_11111;11111;89594306;-71.42000000;-45;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;0;EURNZD;1.61440000;2_11111;11111;89594300;4.61000000;-45;358377236;-267.30000000;-170
2015/11/26;0:51:2;AfterPackClose;1;USDCHF;1.02212000;3_11111;11111;89594315;-50.90000000;-40;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;NZDJPY;80.78600000;2_11111;11111;89594310;-46.45000000;-45;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;GBPCAD;2.00956000;2_11111;11111;89594308;-165.45000000;-45;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;1;EURAUD;1.46401000;1_11111;11111;89594277;-11.61000000;-50;358377210;-274.41000000;-180
2015/11/26;0:51:2;AfterPackClose;2;EURJPY;130.40400000;3_11111;11111;89594321;-75.79000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;2;AUDUSD;0.72601000;3_11111;11111;89594319;-78.00000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;2;GBPCHF;1.54581000;3_11111;11111;89594316;-57.76000000;-40;268782956;-211.55000000;-120
2015/11/26;0:51:2;AfterPackClose;3;GBPCHF;1.54363000;2_11111;11111;89594309;-236.79000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;3;NZDJPY;80.78600000;2_11111;11111;89594307;-46.45000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;3;EURCAD;1.41178000;2_11111;11111;89594297;-37.60000000;-45;268782913;-320.84000000;-135
2015/11/26;0:51:2;AfterPackClose;4;AUDJPY;89.10500000;2_11111;11111;89594302;-81.49000000;-45;179188576;-223.63000000;-95
2015/11/26;0:51:2;AfterPackClose;4;GBPCAD;2.00987000;1_11111;11111;89594274;-142.14000000;-50;179188576;-223.63000000;-95
